player,team,targets,target_share_pct,receptions,receiving_yards,receiving_tds,games,fantasy_points,fantasy_points_per_game,catch_rate_pct,yards_per_target,td_rate_pct
Ja'Marr Chase,CIN,175,28.2,127,1708,17,17,276.0,16.2,72.57142857142857,9.76,9.714285714285714
Amon-Ra St. Brown,DET,141,27.0,115,1263,12,17,201.2,11.8,81.56028368794325,8.957446808510639,8.51063829787234
Justin Jefferson,MIN,154,29.5,103,1533,10,17,214.5,12.6,66.88311688311688,9.954545454545455,6.493506493506493
A.J. Brown,PHI,97,23.3,67,1079,7,13,149.9,11.5,69.0721649484536,11.123711340206185,7.216494845360824
Terry McLaurin,WAS,117,23.4,82,1096,13,17,185.8,10.9,70.08547008547008,9.367521367521368,11.11111111111111
Ladd McConkey,LAC,112,22.7,82,1149,7,16,158.9,9.9,73.21428571428571,10.258928571428571,6.25
Brian Thomas Jr.,JAX,133,25.5,87,1282,10,17,197.0,11.6,65.41353383458647,9.639097744360901,7.518796992481203
Drake London,ATL,158,29.5,100,1271,9,17,180.8,10.6,63.29113924050633,8.044303797468354,5.69620253164557
Malik Nabers,NYG,170,30.4,109,1204,7,15,164.6,11.0,64.11764705882354,7.08235294117647,4.117647058823529
Nico Collins,HOU,99,18.0,68,1006,7,12,142.6,11.9,68.68686868686868,10.16161616161616,7.07070707070707
Mike Evans,TB,110,19.6,74,1004,11,14,166.4,11.9,67.27272727272727,9.127272727272727,10.0
Jaxon Smith-Njigba,SEA,137,24.1,100,1130,6,17,153.0,9.0,72.99270072992701,8.248175182481752,4.37956204379562
Jayden Reed,GB,75,16.1,55,857,6,17,142.0,8.4,73.33333333333333,11.426666666666666,8.0
CeeDee Lamb,DAL,152,24.4,101,1194,6,15,162.4,10.8,66.44736842105263,7.855263157894737,3.9473684210526314
Jameson Williams,DET,91,17.4,58,1001,7,15,154.2,10.3,63.73626373626373,11.0,7.6923076923076925
Tee Higgins,CIN,109,17.5,73,911,10,12,149.1,12.4,66.97247706422019,8.357798165137615,9.174311926605505
DJ Moore,CHI,140,26.3,98,966,6,17,140.1,8.2,70.0,6.9,4.285714285714286
Garrett Wilson,NYJ,154,26.2,101,1104,7,17,150.9,8.9,65.5844155844156,7.1688311688311686,4.545454545454546
Davante Adams,NYJ,141,23.8,85,1063,8,14,156.3,11.2,60.28368794326241,7.539007092198582,5.673758865248227
Jordan Addison,MIN,99,19.1,63,875,9,15,149.5,10.0,63.63636363636363,8.83838383838384,9.090909090909092
Courtland Sutton,DEN,135,24.4,81,1081,8,17,159.3,9.4,60.0,8.007407407407408,5.9259259259259265
Jerry Jeudy,CLE,145,22.8,90,1229,4,17,150.9,8.9,62.06896551724138,8.475862068965517,2.7586206896551726
Tyreek Hill,MIA,123,21.8,81,959,6,17,137.2,8.1,65.85365853658537,7.796747967479675,4.878048780487805
