player,team,targets,receptions,receiving_yards,receiving_tds,games,fantasy_points,fantasy_points_per_game,target_share_pct,catch_rate_pct,yards_per_target,td_rate_pct,yards_per_game,target_share_pct_z,catch_rate_pct_z,yards_per_target_z,td_rate_pct_z,yards_per_game_z,opportunity_efficiency_score,score_0_100
Ja'Marr Chase,CIN,175,127,1708,17,17,276.0,16.2,28.2,72.57142857142857,9.76,9.714285714285714,100.47058823529412,1.163261597259844,1.0360169302114268,0.6495898407808043,1.3782910227281702,2.5095361437629564,1.2692739083500684,62.69273908350068
Amon-Ra St. Brown,DET,141,115,1263,12,17,201.2,11.8,27.0,81.56028368794325,8.957446808510639,8.51063829787234,74.29411764705883,0.8648785109738618,2.8814485411082402,0.031168990667623648,0.8283054600063778,0.19632199064346234,0.9956811772448073,59.95681177244808
Justin Jefferson,MIN,154,103,1533,10,17,214.5,12.6,29.5,66.88311688311688,9.954545454545455,6.493506493506493,90.17647058823529,1.486509940736325,-0.13180589774337892,0.7995001104819129,-0.09338751700672775,1.5998451846710202,0.8054604749182481,58.05460474918248
A.J. Brown,PHI,97,67,1079,7,13,149.9,11.5,23.3,69.0721649484536,11.123711340206185,7.216494845360824,83.0,-0.05513600507458319,0.3176104567513027,1.7004205337025133,0.2369693218097193,0.9656606303326423,0.5674598893897426,55.674598893897425
Terry McLaurin,WAS,117,82,1096,13,17,185.8,10.9,23.4,70.08547008547008,9.367521367521368,11.11111111111111,64.47058823529412,-0.0302707478840852,0.5256442171240464,0.3471588341851353,2.016545873294201,-0.6717830960328427,0.3671938024858145,53.67193802485814
Ladd McConkey,LAC,112,82,1149,7,16,158.9,9.9,22.7,73.21428571428571,10.258928571428571,6.25,71.8125,-0.20432754821757465,1.1679969073433047,1.0340476369251514,-0.20465353563587788,-0.022978508423343886,0.34496583777953566,53.44965837779536
Brian Thomas Jr.,JAX,133,87,1282,10,17,197.0,11.6,25.5,65.41353383458647,9.639097744360901,7.518796992481203,75.41176470588235,0.49189965311638406,-0.4335145110698415,0.5564265757090169,0.3751009824844329,0.2950884376305862,0.27268072188000314,52.72680721880003
Drake London,ATL,158,100,1271,9,17,180.8,10.6,29.5,63.29113924050633,8.044303797468354,5.69620253164557,74.76470588235294,1.486509940736325,-0.869246762167762,-0.6724687035713202,-0.457701569564621,0.23790786305909356,0.10464083309725189,51.04640833097252
Malik Nabers,NYG,170,109,1204,7,15,164.6,11.0,30.4,64.11764705882354,7.08235294117647,4.117647058823529,80.26666666666667,1.7102972554508111,-0.6995628997842586,-1.4137161032746892,-1.1789947889648709,0.7241160213851834,0.022201560886500674,50.22201560886501
Nico Collins,HOU,99,68,1006,7,12,142.6,11.9,18.0,68.68686868686868,10.16161616161616,7.07070707070707,83.83333333333333,-1.3729946361710048,0.23850829174000518,0.9590619240267052,0.1703541567808885,1.039302279401989,0.009064117729472299,50.09064117729472
