team,division,wins,losses,points_for,points_against,win_pct,point_diff,point_diff_per_game,scoring_margin
BUF,AFC East,13,4,525,368,0.7647058823529411,157,9.235294117647058,9.235294117647058
MIA,AFC East,8,9,345,364,0.47058823529411764,-19,-1.1176470588235294,-1.1176470588235294
NYJ,AFC East,5,12,338,404,0.29411764705882354,-66,-3.8823529411764706,-3.8823529411764706
NE,AFC East,4,13,289,417,0.23529411764705882,-128,-7.529411764705882,-7.529411764705882
BAL,AFC North,12,5,518,361,0.7058823529411765,157,9.235294117647058,9.235294117647058
PIT,AFC North,10,7,380,347,0.5882352941176471,33,1.9411764705882353,1.9411764705882353
CIN,AFC North,9,8,472,434,0.5294117647058824,38,2.235294117647059,2.235294117647059
CLE,AFC North,3,14,258,435,0.17647058823529413,-177,-10.411764705882353,-10.411764705882353
HOU,AFC South,10,7,372,372,0.5882352941176471,0,0.0,0.0
IND,AFC South,8,9,377,427,0.47058823529411764,-50,-2.9411764705882355,-2.9411764705882355
JAX,AFC South,4,13,320,435,0.23529411764705882,-115,-6.764705882352941,-6.764705882352941
TEN,AFC South,3,14,311,460,0.17647058823529413,-149,-8.764705882352942,-8.764705882352942
KC,AFC West,15,2,385,326,0.8823529411764706,59,3.4705882352941178,3.4705882352941178
LAC,AFC West,11,6,402,301,0.6470588235294118,101,5.9411764705882355,5.9411764705882355
DEN,AFC West,10,7,425,311,0.5882352941176471,114,6.705882352941177,6.705882352941177
LV,AFC West,4,13,309,434,0.23529411764705882,-125,-7.352941176470588,-7.352941176470588
PHI,NFC East,14,3,463,303,0.8235294117647058,160,9.411764705882353,9.411764705882353
WAS,NFC East,12,5,485,391,0.7058823529411765,94,5.529411764705882,5.529411764705882
DAL,NFC East,7,10,350,468,0.4117647058823529,-118,-6.9411764705882355,-6.9411764705882355
NYG,NFC East,3,14,273,415,0.17647058823529413,-142,-8.352941176470589,-8.352941176470589
DET,NFC North,15,2,564,342,0.8823529411764706,222,13.058823529411764,13.058823529411764
MIN,NFC North,14,3,432,332,0.8235294117647058,100,5.882352941176471,5.882352941176471
GB,NFC North,11,6,460,338,0.6470588235294118,122,7.176470588235294,7.176470588235294
CHI,NFC North,5,12,310,370,0.29411764705882354,-60,-3.5294117647058822,-3.5294117647058822
TB,NFC South,10,7,502,385,0.5882352941176471,117,6.882352941176471,6.882352941176471
ATL,NFC South,8,9,389,423,0.47058823529411764,-34,-2.0,-2.0
CAR,NFC South,5,12,341,534,0.29411764705882354,-193,-11.352941176470589,-11.352941176470589
NO,NFC South,5,12,338,398,0.29411764705882354,-60,-3.5294117647058822,-3.5294117647058822
LAR,NFC West,10,7,367,386,0.5882352941176471,-19,-1.1176470588235294,-1.1176470588235294
SEA,NFC West,10,7,375,368,0.5882352941176471,7,0.4117647058823529,0.4117647058823529
ARI,NFC West,8,9,372,379,0.47058823529411764,-7,-0.4117647058823529,-0.4117647058823529
SF,NFC West,6,11,389,436,0.35294117647058826,-47,-2.764705882352941,-2.764705882352941
