season,week,team,points_for,points_against,win
2022,1,CHI,26,16,1
2022,2,CHI,28,13,1
2022,3,CHI,19,12,1
2022,4,CHI,22,10,1
2022,5,CHI,28,23,1
2022,6,CHI,15,18,0
2022,7,CHI,25,21,1
2022,8,CHI,26,8,1
2022,9,CHI,18,18,0
2022,10,CHI,34,6,1
2022,11,CHI,29,27,1
2022,12,CHI,25,22,1
2022,13,CHI,22,17,1
2022,14,CHI,15,6,1
2022,15,CHI,33,11,1
2022,16,CHI,23,9,1
2022,17,CHI,17,17,0
2022,1,CIN,21,28,0
2022,2,CIN,21,26,0
2022,3,CIN,30,17,1
2022,4,CIN,18,32,0
2022,5,CIN,28,14,1
2022,6,CIN,17,34,0
2022,7,CIN,22,26,0
2022,8,CIN,17,22,0
2022,9,CIN,21,23,0
2022,10,CIN,19,25,0
2022,11,CIN,14,28,0
2022,12,CIN,39,12,1
2022,13,CIN,21,19,1
2022,14,CIN,23,25,0
2022,15,CIN,24,33,0
2022,16,CIN,20,32,0
2022,17,CIN,6,36,0
2022,1,BUF,32,11,1
2022,2,BUF,19,21,0
2022,3,BUF,24,22,1
2022,4,BUF,32,8,1
2022,5,BUF,31,20,1
2022,6,BUF,23,10,1
2022,7,BUF,28,6,1
2022,8,BUF,29,10,1
2022,9,BUF,25,19,1
2022,10,BUF,33,19,1
2022,11,BUF,20,16,1
2022,12,BUF,33,24,1
2022,13,BUF,22,18,1
2022,14,BUF,13,23,0
2022,15,BUF,12,25,0
2022,16,BUF,25,37,0
2022,17,BUF,17,19,0
2022,1,KC,40,9,1
2022,2,KC,33,14,1
2022,3,KC,33,9,1
2022,4,KC,31,6,1
2022,5,KC,32,17,1
2022,6,KC,30,6,1
2022,7,KC,38,17,1
2022,8,KC,26,12,1
2022,9,KC,21,7,1
2022,10,KC,28,23,1
2022,11,KC,27,19,1
2022,12,KC,28,16,1
2022,13,KC,31,20,1
2022,14,KC,28,6,1
2022,15,KC,22,11,1
2022,16,KC,23,17,1
2022,17,KC,28,31,0
2022,1,GB,15,21,0
2022,2,GB,10,29,0
2022,3,GB,6,30,0
2022,4,GB,27,25,1
2022,5,GB,16,36,0
2022,6,GB,13,24,0
2022,7,GB,6,33,0
2022,8,GB,13,21,0
2022,9,GB,15,24,0
2022,10,GB,10,33,0
2022,11,GB,6,36,0
2022,12,GB,6,24,0
2022,13,GB,27,36,0
2022,14,GB,14,22,0
2022,15,GB,10,29,0
2022,16,GB,14,28,0
2022,17,GB,14,27,0
2022,1,DET,12,34,0
2022,2,DET,6,26,0
2022,3,DET,10,28,0
2022,4,DET,13,38,0
2022,5,DET,19,18,1
2022,6,DET,20,22,0
2022,7,DET,11,29,0
2022,8,DET,12,34,0
2022,9,DET,10,23,0
2022,10,DET,11,23,0
2022,11,DET,23,32,0
2022,12,DET,27,43,0
2022,13,DET,8,28,0
2022,14,DET,7,22,0
2022,15,DET,11,20,0
2022,16,DET,8,26,0
2022,17,DET,7,33,0
2022,1,PHI,38,22,1
2022,2,PHI,18,16,1
2022,3,PHI,30,33,0
2022,4,PHI,20,16,1
2022,5,PHI,19,17,1
2022,6,PHI,28,31,0
2022,7,PHI,19,8,1
2022,8,PHI,11,30,0
2022,9,PHI,26,33,0
2022,10,PHI,7,27,0
2022,11,PHI,25,14,1
2022,12,PHI,18,27,0
2022,13,PHI,16,12,1
2022,14,PHI,16,23,0
2022,15,PHI,17,21,0
2022,16,PHI,15,25,0
2022,17,PHI,21,23,0
2022,1,SF,21,10,1
2022,2,SF,24,23,1
2022,3,SF,21,30,0
2022,4,SF,7,9,0
2022,5,SF,22,23,0
2022,6,SF,22,20,1
2022,7,SF,25,30,0
2022,8,SF,24,21,1
2022,9,SF,6,29,0
2022,10,SF,29,28,1
2022,11,SF,14,28,0
2022,12,SF,26,34,0
2022,13,SF,14,22,0
2022,14,SF,26,24,1
2022,15,SF,13,26,0
2022,16,SF,25,24,1
2022,17,SF,22,21,1
2022,1,BAL,24,11,1
2022,2,BAL,30,22,1
2022,3,BAL,19,6,1
2022,4,BAL,16,16,0
2022,5,BAL,22,13,1
2022,6,BAL,35,11,1
2022,7,BAL,32,13,1
2022,8,BAL,35,19,1
2022,9,BAL,25,14,1
2022,10,BAL,37,18,1
2022,11,BAL,20,20,0
2022,12,BAL,22,25,0
2022,13,BAL,37,18,1
2022,14,BAL,31,14,1
2022,15,BAL,35,13,1
2022,16,BAL,32,22,1
2022,17,BAL,26,11,1
2022,1,MIA,9,13,0
2022,2,MIA,22,39,0
2022,3,MIA,27,15,1
2022,4,MIA,22,36,0
2022,5,MIA,13,27,0
2022,6,MIA,6,28,0
2022,7,MIA,9,28,0
2022,8,MIA,6,30,0
2022,9,MIA,24,21,1
2022,10,MIA,9,11,0
2022,11,MIA,15,22,0
2022,12,MIA,6,29,0
2022,13,MIA,13,19,0
2022,14,MIA,13,34,0
2022,15,MIA,21,25,0
2022,16,MIA,21,18,1
2022,17,MIA,17,27,0
2022,1,DAL,23,18,1
2022,2,DAL,24,27,0
2022,3,DAL,6,32,0
2022,4,DAL,6,19,0
2022,5,DAL,27,21,1
2022,6,DAL,10,16,0
2022,7,DAL,27,10,1
2022,8,DAL,28,23,1
2022,9,DAL,12,19,0
2022,10,DAL,13,29,0
2022,11,DAL,25,11,1
2022,12,DAL,17,17,0
2022,13,DAL,29,14,1
2022,14,DAL,31,23,1
2022,15,DAL,12,19,0
2022,16,DAL,15,14,1
2022,17,DAL,21,15,1
2022,1,MIN,9,18,0
2022,2,MIN,6,24,0
2022,3,MIN,6,44,0
2022,4,MIN,12,32,0
2022,5,MIN,6,26,0
2022,6,MIN,13,23,0
2022,7,MIN,18,22,0
2022,8,MIN,10,26,0
2022,9,MIN,13,26,0
2022,10,MIN,10,29,0
2022,11,MIN,6,34,0
2022,12,MIN,13,30,0
2022,13,MIN,9,36,0
2022,14,MIN,10,28,0
2022,15,MIN,12,42,0
2022,16,MIN,6,36,0
2022,17,MIN,6,32,0
2023,1,CHI,34,16,1
2023,2,CHI,26,15,1
2023,3,CHI,29,10,1
2023,4,CHI,28,17,1
2023,5,CHI,25,10,1
2023,6,CHI,21,18,1
2023,7,CHI,34,17,1
2023,8,CHI,37,16,1
2023,9,CHI,33,17,1
2023,10,CHI,30,11,1
2023,11,CHI,46,12,1
2023,12,CHI,26,18,1
2023,13,CHI,32,6,1
2023,14,CHI,38,15,1
2023,15,CHI,23,24,0
2023,16,CHI,35,6,1
2023,17,CHI,43,20,1
2023,1,CIN,34,23,1
2023,2,CIN,22,17,1
2023,3,CIN,27,25,1
2023,4,CIN,23,16,1
2023,5,CIN,23,21,1
2023,6,CIN,13,11,1
2023,7,CIN,26,6,1
2023,8,CIN,24,18,1
2023,9,CIN,32,18,1
2023,10,CIN,27,19,1
2023,11,CIN,23,27,0
2023,12,CIN,19,29,0
2023,13,CIN,15,24,0
