team,wins,losses,points_per_game,offensive_rating,win_pct_reported,win_pct,scoring_vs_wins_corr
Connecticut,37,3,81.4,123.3,92.5,0.925,
James Madison,31,4,81.9,114.2,88.6,0.8857142857142857,
Purdue,34,5,82.3,119.7,87.2,0.8717948717948718,
McNeese,26,4,77.8,116.8,86.7,0.8666666666666667,
Houston,32,5,74.8,113.7,86.5,0.8648648648648649,
Grand Canyon,29,5,78.3,113.0,85.3,0.8529411764705882,
Samford,27,6,84.5,114.5,81.8,0.8181818181818182,
Indiana State,31,7,84.7,118.5,81.6,0.8157894736842105,
Princeton,24,4,75.9,113.2,81.5,0.8571428571428571,
Drake,27,7,78.1,112.7,79.4,0.7941176470588235,
Utah State,26,7,79.5,113.1,78.8,0.7878787878787878,
Iowa State,29,8,75.0,112.4,78.4,0.7837837837837838,
North Carolina,29,8,81.9,114.7,78.4,0.7837837837837838,
Auburn,27,8,83.1,116.9,77.1,0.7714285714285715,
Charleston,26,8,80.5,114.7,76.5,0.7647058823529411,
Gonzaga,26,8,83.4,120.5,76.5,0.7647058823529411,
South Carolina,26,8,72.0,110.8,76.5,0.7647058823529411,
Illinois,29,9,83.4,117.9,76.3,0.7631578947368421,
Dayton,25,10,72.7,114.6,75.8,0.7142857142857143,
Arizona,27,9,87.1,117.0,75.0,0.75,
Alabama,25,12,90.1,121.3,67.6,0.6756756756756757,
Kentucky,23,10,89.0,119.5,69.7,0.696969696969697,
Duke,27,9,78.6,116.8,75.0,0.75,
BYU,23,11,81.4,116.6,67.6,0.6764705882352942,
FAU,25,9,82.0,115.8,73.5,0.7352941176470589,
