team,wins,points_per_game,opponent_points_per_game
Team 01,17,73.7,82.6
Team 02,16,58.6,82.9
Team 03,20,59.8,71.3
Team 04,23,74.9,71.4
Team 05,17,71.5,68.8
Team 06,25,66.3,77.6
Team 07,26,74.5,69.0
Team 08,17,74.8,68.5
Team 09,27,80.6,76.9
Team 10,11,75.0,67.8
Team 11,28,82.6,70.8
Team 12,14,74.1,61.5
Team 13,20,73.2,75.2
Team 14,14,81.5,82.6
Team 15,17,67.2,75.3
Team 16,15,93.7,79.8
Team 17,23,76.6,65.9
Team 18,9,76.7,72.4
Team 19,26,77.7,65.3
Team 20,27,87.1,69.6
Team 21,20,79.5,75.6
Team 22,20,62.8,71.6
Team 23,23,83.8,62.5
Team 24,12,71.6,63.1
Team 25,24,74.8,62.7
Team 26,12,65.0,73.9
Team 27,22,77.7,83.4
Team 28,14,69.4,79.2
Team 29,24,74.7,59.6
Team 30,25,72.0,79.5
